"OCQ580.Code.or.Value","OCQ580.Value.Description","OCQ580.Count","OCQ580.Cumulative","OCQ580.Skip.to.Item"
"0 to 60","Range of Values",1894,1894,NA
"7777","Refused",0,1894,NA
"9999","Don't know",3,1897,NA
".","Missing",4992,6889,NA
