"LBDV2TLC.Code.or.Value","LBDV2TLC.Value.Description","LBDV2TLC.Count","LBDV2TLC.Cumulative","LBDV2TLC.Skip.to.Item"
"0","detectable result",0,0,NA
"1","below detectable limit",1367,1367,NA
"2","detectable result and exceeds the calibrated range of assay",0,1367,NA
".","Missing",122,1489,NA
