"URDMZPLC.Code.or.Value","URDMZPLC.Value.Description","URDMZPLC.Count","URDMZPLC.Cumulative","URDMZPLC.Skip.to.Item"
"0","At or above the detection limit",2735,2735,NA
"1","Below lower detection limit",14,2749,NA
".","Missing",70,2819,NA
