"LBXHCT.Code.or.Value","LBXHCT.Value.Description","LBXHCT.Count","LBXHCT.Cumulative","LBXHCT.Skip.to.Item"
"22.4 to 56.3","Range of Values",8267,8267,NA
".","Missing",1040,9307,NA
