"BAXFTC42.Code.or.Value","BAXFTC42.Value.Description","BAXFTC42.Count","BAXFTC42.Cumulative","BAXFTC42.Skip.to.Item"
"0 to 29","Range of Values",926,926,NA
".","Missing",2258,3184,NA
