"RHQ562.Code.or.Value","RHQ562.Value.Description","RHQ562.Count","RHQ562.Cumulative","RHQ562.Skip.to.Item"
"1","Yes",130,130,""
"2","No",412,542,"RHQ570"
"7","Refused",0,542,"RHQ570"
"9","Don't know",26,568,"RHQ570"
".","Missing",3297,3865,""
