"URDPHGLC.Code.or.Value","URDPHGLC.Value.Description","URDPHGLC.Count","URDPHGLC.Cumulative","URDPHGLC.Skip.to.Item"
"0","At or above the detection limit",2650,2650,NA
"1","Below lower detection limit",5,2655,NA
".","Missing",324,2979,NA
