"ACD011A.Code.or.Value","ACD011A.Value.Description","ACD011A.Count","ACD011A.Cumulative","ACD011A.Skip.to.Item"
"1","English",4279,4279,NA
"77","Refused",1,4280,NA
"99","Don't know",0,4280,NA
".","Missing",2553,6833,NA
