"RFXC160.Code.or.Value","RFXC160.Value.Description","RFXC160.Count","RFXC160.Cumulative","RFXC160.Skip.to.Item"
"-5.276 to 5.694","Range of Values",33668,33668,NA
".","Missing",53,33721,NA
