"LB2RST.Code.or.Value","LB2RST.Value.Description","LB2RST.Count","LB2RST.Cumulative","LB2RST.Skip.to.Item"
"0.35 to 8.1","Range of Values",535,535,NA
".","Missing",16,551,NA
