"LBXACR.Code.or.Value","LBXACR.Value.Description","LBXACR.Count","LBXACR.Cumulative","LBXACR.Skip.to.Item"
"5.94 to 555","Range of Values",2413,2413,NA
".","Missing",279,2692,NA
