"FSD230N.Code.or.Value","FSD230N.Value.Description","FSD230N.Count","FSD230N.Cumulative","FSD230N.Skip.to.Item"
"1 to 6","Range of Values",2462,2462,NA
"7","7 or more",146,2608,NA
"77","Refused",0,2608,NA
"99","Don't know",0,2608,NA
".","Missing",7363,9971,NA
