"AUDTYL40.Code.or.Value","AUDTYL40.Value.Description","AUDTYL40.Count","AUDTYL40.Cumulative","AUDTYL40.Skip.to.Item"
"0 to 2.59","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
