"SSQ041.Code.or.Value","SSQ041.Value.Description","SSQ041.Count","SSQ041.Cumulative","SSQ041.Skip.to.Item"
"1","A lot more emotional support",179,179,NA
"2","Some emotional support",188,367,NA
"3","A little more emotional support",227,594,NA
"7","Refused",0,594,NA
"9","Don't know",1,595,NA
".","Missing",2704,3299,NA
