"DR2TVB1.Code.or.Value","DR2TVB1.Value.Description","DR2TVB1.Count","DR2TVB1.Cumulative","DR2TVB1.Skip.to.Item"
"0 to 12.616","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
