"MCQ260GG.Code.or.Value","MCQ260GG.Value.Description","MCQ260GG.Count","MCQ260GG.Cumulative","MCQ260GG.Skip.to.Item"
"7","Brother",112,112,NA
".","Missing",9533,9645,NA
