"AUXLR162.Code.or.Value","AUXLR162.Value.Description","AUXLR162.Count","AUXLR162.Cumulative","AUXLR162.Skip.to.Item"
"-11 to 39","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
