"RHQ602Q.Code.or.Value","RHQ602Q.Value.Description","RHQ602Q.Count","RHQ602Q.Cumulative","RHQ602Q.Skip.to.Item"
"1 to 6","Range of Values",9,9,NA
"77","Refused",0,9,NA
"99","Don't know",1,10,NA
".","Missing",3735,3745,NA
