"OHD22LAM.Code.or.Value","OHD22LAM.Value.Description","OHD22LAM.Count","OHD22LAM.Cumulative","OHD22LAM.Skip.to.Item"
"0 to 8","Range of Values",2648,2648,NA
"99","Calculation cannot be determined",128,2776,NA
".","Missing",4354,7130,NA
