"WBXP073.Code.or.Value","WBXP073.Value.Description","WBXP073.Count","WBXP073.Cumulative","WBXP073.Skip.to.Item"
"-129.49 to 108.3146","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
