"URDATCLC.Code.or.Value","URDATCLC.Value.Description","URDATCLC.Count","URDATCLC.Cumulative","URDATCLC.Skip.to.Item"
"0","At or above the detection limit",2396,2396,NA
"1","Below lower detection limit",127,2523,NA
".","Missing",232,2755,NA
