"DXXLSA.Code.or.Value","DXXLSA.Value.Description","DXXLSA.Count","DXXLSA.Cumulative","DXXLSA.Skip.to.Item"
"12.09 to 88.34","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
