"OHD700.Code.or.Value","OHD700.Value.Description","OHD700.Count","OHD700.Cumulative","OHD700.Skip.to.Item"
"1","Yes",930,930,""
"2","No",4593,5523,"OHD721"
"7","Refused",1,5524,"OHD721"
"9","Don't know",96,5620,"OHD721"
".","Missing",3684,9304,""
