"URXUAS3.Code.or.Value","URXUAS3.Value.Description","URXUAS3.Count","URXUAS3.Cumulative","URXUAS3.Skip.to.Item"
"0.34 to 66.3","Range of Values",2517,2517,NA
".","Missing",77,2594,NA
