"DUQ410.Code.or.Value","DUQ410.Value.Description","DUQ410.Count","DUQ410.Cumulative","DUQ410.Skip.to.Item"
"1","Once",20,20,"DUQ430"
"2","2-5 times",29,49,""
"3","6-19 times",18,67,""
"4","20-49 times",14,81,""
"5","50-99 times",9,90,""
"6","100 times or more",22,112,""
"77","Refused",0,112,""
"99","Don't know",1,113,""
".","Missing",4512,4625,""
