"WTSHM4YR.Code.or.Value","WTSHM4YR.Value.Description","WTSHM4YR.Count","WTSHM4YR.Cumulative","WTSHM4YR.Skip.to.Item"
"0 to 339040.61749","Range of Values",2804,2804,NA
".","Missing",0,2804,NA
