"RFXC034.Code.or.Value","RFXC034.Value.Description","RFXC034.Count","RFXC034.Cumulative","RFXC034.Skip.to.Item"
"-8.215 to 5.348","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
