"WHD050.Code.or.Value","WHD050.Value.Description","WHD050.Count","WHD050.Cumulative","WHD050.Skip.to.Item"
"75 to 559","Range of Values",6330,6330,NA
"7777","Refused",10,6340,NA
"9999","Don't know",82,6422,NA
".","Missing",42,6464,NA
