"SMQ845.Code.or.Value","SMQ845.Value.Description","SMQ845.Count","SMQ845.Cumulative","SMQ845.Skip.to.Item"
"1 to 5","Range of Values",59,59,NA
"7","Refused",0,59,NA
"9","Don't know",0,59,NA
".","Missing",6920,6979,NA
