"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"280.6 to 921.3","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
