"OPDSLARM.Code.or.Value","OPDSLARM.Value.Description","OPDSLARM.Count","OPDSLARM.Cumulative","OPDSLARM.Skip.to.Item"
"0","No",3085,3085,NA
"1","Yes",19,3104,NA
".","Missing",759,3863,NA
