"MCQ365b.Code.or.Value","MCQ365b.Value.Description","MCQ365b.Count","MCQ365b.Cumulative","MCQ365b.Skip.to.Item"
"1","Yes",2065,2065,NA
"2","No",4108,6173,NA
"7","Refused",1,6174,NA
"9","Don't know",0,6174,NA
".","Missing",3190,9364,NA
