"RHQ551G.Code.or.Value","RHQ551G.Value.Description","RHQ551G.Count","RHQ551G.Cumulative","RHQ551G.Skip.to.Item"
"16","Other reasons",32,32,NA
".","Missing",3833,3865,NA
