"OPDSSNV.Code.or.Value","OPDSSNV.Value.Description","OPDSSNV.Count","OPDSSNV.Cumulative","OPDSSNV.Skip.to.Item"
"0","No",3099,3099,NA
"1","Yes",0,3099,NA
".","Missing",764,3863,NA
