"LBX128LA.Code.or.Value","LBX128LA.Value.Description","LBX128LA.Count","LBX128LA.Cumulative","LBX128LA.Skip.to.Item"
"0.03 to 9.2","Range of Values",1877,1877,NA
".","Missing",408,2285,NA
