"BPQ080.Code.or.Value","BPQ080.Value.Description","BPQ080.Count","BPQ080.Cumulative","BPQ080.Skip.to.Item"
"1","Yes",1336,1336,""
"2","No",2242,3578,"BPD110a"
"7","Refused",1,3579,"BPD110a"
"9","Don't know",28,3607,"BPD110a"
".","Missing",3027,6634,""
