"TYXP111.Code.or.Value","TYXP111.Value.Description","TYXP111.Count","TYXP111.Cumulative","TYXP111.Skip.to.Item"
"-282 to 61","Range of Values",8430,8430,NA
".","Missing",39,8469,NA
