"AUXRR255.Code.or.Value","AUXRR255.Value.Description","AUXRR255.Count","AUXRR255.Cumulative","AUXRR255.Skip.to.Item"
"-3 to 51","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
