"DS2TZINC.Code.or.Value","DS2TZINC.Value.Description","DS2TZINC.Count","DS2TZINC.Cumulative","DS2TZINC.Skip.to.Item"
"0.2 to 132","Range of Values",1502,1502,NA
".","Missing",7836,9338,NA
