"LBDTCDLC.Code.or.Value","LBDTCDLC.Value.Description","LBDTCDLC.Count","LBDTCDLC.Cumulative","LBDTCDLC.Skip.to.Item"
"0","detectable result",156,156,NA
"1","below detectable limit",1072,1228,NA
".","Missing",1319,2547,NA
