"PHQ060.Code.or.Value","PHQ060.Value.Description","PHQ060.Count","PHQ060.Cumulative","PHQ060.Skip.to.Item"
"1","Yes",57,57,NA
"2","No",8956,9013,NA
".","Missing",166,9179,NA
