"SSSalIgG.Code.or.Value","SSSalIgG.Value.Description","SSSalIgG.Count","SSSalIgG.Cumulative","SSSalIgG.Skip.to.Item"
"0 to 2.212","Range of Values",1114,1114,NA
".","Missing",13,1127,NA
