"DR2TALCO.Code.or.Value","DR2TALCO.Value.Description","DR2TALCO.Count","DR2TALCO.Cumulative","DR2TALCO.Skip.to.Item"
"0 to 443.5","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
