"DXXPT88Y.Code.or.Value","DXXPT88Y.Value.Description","DXXPT88Y.Count","DXXPT88Y.Cumulative","DXXPT88Y.Skip.to.Item"
"88.1 to 276.2","Range of Values",3107,3107,NA
".","Missing",601,3708,NA
