"LBX105LA.Code.or.Value","LBX105LA.Value.Description","LBX105LA.Count","LBX105LA.Cumulative","LBX105LA.Skip.to.Item"
"1.1 to 96","Range of Values",2307,2307,NA
".","Missing",240,2547,NA
