"BPXDAR.Code.or.Value","BPXDAR.Value.Description","BPXDAR.Count","BPXDAR.Cumulative","BPXDAR.Skip.to.Item"
"0 to 132","Range of Values",7215,7215,NA
".","Missing",2067,9282,NA
