"SSHPVNLD.Code.or.Value","SSHPVNLD.Value.Description","SSHPVNLD.Count","SSHPVNLD.Cumulative","SSHPVNLD.Skip.to.Item"
"0 to 1842092","Range of Values",766,766,NA
".","Missing",3,769,NA
