"URXMNM.Code.or.Value","URXMNM.Value.Description","URXMNM.Count","URXMNM.Cumulative","URXMNM.Skip.to.Item"
"0.35 to 2447.3","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
