"DR1TACAR.Code.or.Value","DR1TACAR.Value.Description","DR1TACAR.Count","DR1TACAR.Cumulative","DR1TACAR.Skip.to.Item"
"0 to 61530","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
