"SSCYHOMP.Code.or.Value","SSCYHOMP.Value.Description","SSCYHOMP.Count","SSCYHOMP.Cumulative","SSCYHOMP.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
