"HSQ490.Code.or.Value","HSQ490.Value.Description","HSQ490.Count","HSQ490.Cumulative","HSQ490.Skip.to.Item"
"0 to 30","Range of Values",6545,6545,NA
"77","Refused",2,6547,NA
"99","Don't know",6,6553,NA
".","Missing",3282,9835,NA
