"PAQ670.Code.or.Value","PAQ670.Value.Description","PAQ670.Count","PAQ670.Cumulative","PAQ670.Skip.to.Item"
"1 to 7","Range of Values",3056,3056,NA
"77","Refused",0,3056,NA
"99","Don't know",3,3059,NA
".","Missing",6425,9484,NA
