"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1 to 2","Range of Values",6472,6472,NA
".","Missing",0,6472,NA
