"LBDVD3LC.Code.or.Value","LBDVD3LC.Value.Description","LBDVD3LC.Count","LBDVD3LC.Cumulative","LBDVD3LC.Skip.to.Item"
"0","At or above the detection limit",7743,7743,NA
"1","Below lower detection limit",0,7743,NA
".","Missing",1213,8956,NA
