"TYXP209.Code.or.Value","TYXP209.Value.Description","TYXP209.Count","TYXP209.Cumulative","TYXP209.Skip.to.Item"
"-298 to -21","Range of Values",555,555,NA
".","Missing",7914,8469,NA
