"DXXPT92Y.Code.or.Value","DXXPT92Y.Value.Description","DXXPT92Y.Count","DXXPT92Y.Cumulative","DXXPT92Y.Skip.to.Item"
"145.5 to 374.6","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
