"DRXIP184.Code.or.Value","DRXIP184.Value.Description","DRXIP184.Count","DRXIP184.Cumulative","DRXIP184.Skip.to.Item"
"0 to 0.75","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
