"DBD040.Code.or.Value","DBD040.Value.Description","DBD040.Count","DBD040.Cumulative","DBD040.Skip.to.Item"
"1 to 730","Range of Values",1830,1830,""
"0","Never on a daily basis",256,2086,"DBD060"
"777777","Refused",0,2086,""
"999999","Don't know",7,2093,""
".","Missing",8255,10348,""
