"CBQ860.Code.or.Value","CBQ860.Value.Description","CBQ860.Count","CBQ860.Cumulative","CBQ860.Skip.to.Item"
"1","Yes",853,853,""
"2","No",812,1665,"CBQ875"
"7","Refused",0,1665,""
"9","Don't know",0,1665,""
".","Missing",380,2045,""
