"DR1IMFAT.Code.or.Value","DR1IMFAT.Value.Description","DR1IMFAT.Count","DR1IMFAT.Cumulative","DR1IMFAT.Skip.to.Item"
"0 to 102.974","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
