"LBXFER.Code.or.Value","LBXFER.Value.Description","LBXFER.Count","LBXFER.Cumulative","LBXFER.Skip.to.Item"
"1 to 3234","Range of Values",8807,8807,NA
".","Missing",1122,9929,NA
