"DS1TIODI.Code.or.Value","DS1TIODI.Value.Description","DS1TIODI.Count","DS1TIODI.Cumulative","DS1TIODI.Skip.to.Item"
"7.5 to 12575","Range of Values",1068,1068,NA
".","Missing",8270,9338,NA
