"SSCYSPS.Code.or.Value","SSCYSPS.Value.Description","SSCYSPS.Count","SSCYSPS.Cumulative","SSCYSPS.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
