"URXUTU.Code.or.Value","URXUTU.Value.Description","URXUTU.Count","URXUTU.Cumulative","URXUTU.Skip.to.Item"
"0.01 to 3.93","Range of Values",2558,2558,NA
"-0.01","First Fill Value of Limit of Detection",0,2558,NA
"-0.02","Second Fill Value of Limit of Detection",0,2558,NA
"-0.03","Third Fill Value of Limit of Detection",0,2558,NA
".","Missing",115,2673,NA
